YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,PRECTOTCORR,WS10M,datetime
2020,1,1,0,0.0,0.0,0.0,25.22,93.75,0.0,0.59,2020-01-01 00:00:00
2020,1,1,1,0.0,0.0,0.0,25.25,92.37,0.0,0.37,2020-01-01 01:00:00
2020,1,1,2,0.0,0.0,0.0,25.18,91.55,0.0,0.35,2020-01-01 02:00:00
2020,1,1,3,0.0,0.0,0.0,25.05,91.26,0.0,0.29,2020-01-01 03:00:00
2020,1,1,4,0.0,0.0,0.0,24.86,91.38,0.0,0.14,2020-01-01 04:00:00
2020,1,1,5,0.0,0.0,0.0,24.74,91.3,0.0,0.11,2020-01-01 05:00:00
2020,1,1,6,6.55,0.0,8.19,24.66,91.58,0.0,0.32,2020-01-01 06:00:00
2020,1,1,7,94.25,4.73,70.86,25.86,96.64,0.0,0.34,2020-01-01 07:00:00
2020,1,1,8,247.7,50.97,185.54,27.38,77.66,0.0,0.45,2020-01-01 08:00:00
2020,1,1,9,414.38,132.16,246.23,29.08,69.37,0.0,0.83,2020-01-01 09:00:00
2020,1,1,10,531.28,179.89,299.66,30.51,63.48,0.0,0.95,2020-01-01 10:00:00
2020,1,1,11,739.25,484.09,419.12,31.71,58.95,0.0,0.89,2020-01-01 11:00:00
2020,1,1,12,686.03,312.59,347.96,32.71,54.91,0.0,0.7,2020-01-01 12:00:00
2020,1,1,13,644.35,272.84,356.03,33.37,51.73,0.0,0.41,2020-01-01 13:00:00
2020,1,1,14,631.35,497.0,283.82,33.52,50.68,0.0,0.09,2020-01-01 14:00:00
2020,1,1,15,390.83,299.62,219.48,33.06,52.13,0.0,0.31,2020-01-01 15:00:00
2020,1,1,16,236.2,174.12,157.44,32.81,58.03,0.0,0.6,2020-01-01 16:00:00
2020,1,1,17,80.32,16.96,69.27,31.39,63.41,0.0,0.85,2020-01-01 17:00:00
2020,1,1,18,2.97,0.0,4.47,28.02,83.27,0.0,1.39,2020-01-01 18:00:00
