YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,RH2M,PRECTOTCORR,WS10M,datetime
2020,1,1,0,0.0,0.0,0.0,19.53,22.81,0.0,5.19,2020-01-01 00:00:00
2020,1,1,1,0.0,0.0,0.0,18.66,24.0,0.0,5.14,2020-01-01 01:00:00
2020,1,1,2,0.0,0.0,0.0,17.88,25.2,0.0,5.12,2020-01-01 02:00:00
2020,1,1,3,0.0,0.0,0.0,17.17,26.52,0.0,5.18,2020-01-01 03:00:00
2020,1,1,4,0.0,0.0,0.0,16.5,27.93,0.0,5.24,2020-01-01 04:00:00
2020,1,1,5,0.0,0.0,0.0,15.89,29.4,0.0,5.28,2020-01-01 05:00:00
2020,1,1,6,15.75,0.0,18.5,15.61,30.56,0.0,5.59,2020-01-01 06:00:00
2020,1,1,7,161.5,119.53,108.12,17.45,27.6,0.0,6.11,2020-01-01 07:00:00
2020,1,1,8,379.3,294.23,227.06,21.26,21.0,0.0,7.09,2020-01-01 08:00:00
2020,1,1,9,592.97,419.79,308.01,24.95,15.82,0.0,7.75,2020-01-01 09:00:00
2020,1,1,10,721.28,408.77,355.29,27.77,13.22,0.0,6.89,2020-01-01 10:00:00
2020,1,1,11,807.62,405.5,399.95,30.09,11.62,0.0,5.82,2020-01-01 11:00:00
2020,1,1,12,896.55,717.87,264.2,31.78,10.97,0.0,4.88,2020-01-01 12:00:00
2020,1,1,13,824.38,1036.96,178.45,32.7,10.94,0.0,4.3,2020-01-01 13:00:00
2020,1,1,14,680.67,671.1,243.19,32.88,11.1,0.0,4.16,2020-01-01 14:00:00
2020,1,1,15,473.02,634.17,158.08,32.34,11.5,0.0,4.29,2020-01-01 15:00:00
2020,1,1,16,244.3,385.48,128.63,31.09,12.31,0.0,4.53,2020-01-01 16:00:00
2020,1,1,17,36.8,37.12,35.55,27.02,15.71,0.0,3.41,2020-01-01 17:00:00
2020,1,1,18,0.0,0.0,0.0,24.72,17.53,0.0,4.59,2020-01-01 18:00:00
2020,1,1,19,0.0,0.0,0.0,24.21,17.68,0.0,6.62,2020-01-01 19:00:00
2020,1,1,20,0.0,0.0,0.0,22.77,19.02,0.0,7.66,2020-01-01 20:00:00
2020,1,1,21,0.0,0.0,0.0,21.33,20.29,0.0,7.8,2020-01-01 21:00:00
2020,1,1,22,0.0,0.0,0.0,19.96,21.36,0.0,7.25,2020-01-01 22:00:00
2020,1,1,23,0.0,0.0,0.0,18.75,22.02,0.0,7.24,2020-01-01 23:00:00
2020,1,2,0,0.0,0.0,0.0,17.59,23.05,0.0,7.03,2020-01-02 00:00:00
2020,1,2,1,0.0,0.0,0.0,16.53,24.47,0.0,6.7,2020-01-02 01:00:00
2020,1,2,2,0.0,0.0,0.0,15.55,26.04,0.0,6.84,2020-01-02 02:00:00
2020,1,2,3,0.0,0.0,0.0,14.63,27.64,0.0,7.41,2020-01-02 03:00:00
2020,1,2,4,0.0,0.0,0.0,13.74,29.1,0.0,7.83,2020-01-02 04:00:00
2020,1,2,5,0.0,0.0,0.0,12.97,29.9,0.0,7.44,2020-01-02 05:00:00
2020,1,2,6,16.5,0.0,22.53,12.56,29.68,0.0,6.83,2020-01-02 06:00:00
2020,1,2,7,168.27,145.22,144.03,13.79,25.15,0.0,7.79,2020-01-02 07:00:00
2020,1,2,8,385.15,321.01,239.4,16.33,19.2,0.0,8.21,2020-01-02 08:00:00
2020,1,2,9,602.67,386.99,326.65,19.09,15.57,0.0,7.98,2020-01-02 09:00:00
2020,1,2,10,773.28,559.43,343.48,21.57,13.29,0.0,7.33,2020-01-02 10:00:00
2020,1,2,11,863.25,627.25,292.37,24.01,11.66,0.0,6.31,2020-01-02 11:00:00
2020,1,2,12,853.75,579.92,309.01,26.08,10.66,0.0,5.43,2020-01-02 12:00:00
2020,1,2,13,791.78,565.72,348.44,27.52,10.21,0.0,4.97,2020-01-02 13:00:00
2020,1,2,14,651.5,566.24,227.43,28.17,10.23,0.0,4.75,2020-01-02 14:00:00
2020,1,2,15,454.3,455.25,196.24,28.02,10.64,0.0,4.72,2020-01-02 15:00:00
2020,1,2,16,234.15,391.93,115.51,26.99,11.43,0.0,4.76,2020-01-02 16:00:00
2020,1,2,17,34.22,21.38,31.29,23.24,14.57,0.0,3.23,2020-01-02 17:00:00
2020,1,2,18,0.0,0.0,0.0,20.76,16.65,0.0,3.57,2020-01-02 18:00:00
2020,1,2,19,0.0,0.0,0.0,20.04,16.89,0.0,4.09,2020-01-02 19:00:00
2020,1,2,20,0.0,0.0,0.0,19.28,17.24,0.0,4.58,2020-01-02 20:00:00
2020,1,2,21,0.0,0.0,0.0,18.28,17.98,0.0,4.65,2020-01-02 21:00:00
2020,1,2,22,0.0,0.0,0.0,17.4,18.7,0.0,4.8,2020-01-02 22:00:00
2020,1,2,23,0.0,0.0,0.0,16.71,19.29,0.0,5.23,2020-01-02 23:00:00
2020,1,3,0,0.0,0.0,0.0,16.05,20.03,0.0,5.53,2020-01-03 00:00:00
2020,1,3,1,0.0,0.0,0.0,15.4,21.14,0.0,5.57,2020-01-03 01:00:00
2020,1,3,2,0.0,0.0,0.0,14.86,22.99,0.0,5.48,2020-01-03 02:00:00
2020,1,3,3,0.0,0.0,0.0,14.38,25.7,0.0,5.35,2020-01-03 03:00:00
2020,1,3,4,0.0,0.0,0.0,13.92,28.54,0.0,5.16,2020-01-03 04:00:00
2020,1,3,5,0.0,0.0,0.0,13.47,30.9,0.0,5.07,2020-01-03 05:00:00
2020,1,3,6,15.27,0.85,20.89,13.29,31.79,0.0,5.3,2020-01-03 06:00:00
2020,1,3,7,131.32,99.3,100.69,14.85,27.55,0.0,6.84,2020-01-03 07:00:00
2020,1,3,8,259.52,236.37,169.41,17.41,22.0,0.0,7.68,2020-01-03 08:00:00
2020,1,3,9,452.08,29.31,310.88,20.3,18.42,0.0,7.23,2020-01-03 09:00:00
2020,1,3,10,647.65,164.04,418.34,23.2,15.75,0.0,6.79,2020-01-03 10:00:00
2020,1,3,11,813.95,460.75,380.6,25.78,13.81,0.0,6.39,2020-01-03 11:00:00
2020,1,3,12,707.9,146.01,424.76,27.69,12.95,0.0,6.1,2020-01-03 12:00:00
2020,1,3,13,718.47,353.01,402.02,28.82,12.93,0.0,5.75,2020-01-03 13:00:00
2020,1,3,14,567.88,311.47,275.23,29.36,13.13,0.0,5.47,2020-01-03 14:00:00
2020,1,3,15,372.75,220.82,236.98,29.14,13.87,0.0,5.4,2020-01-03 15:00:00
2020,1,3,16,183.88,83.89,158.8,28.15,15.22,0.0,5.28,2020-01-03 16:00:00
2020,1,3,17,28.17,0.5,31.97,24.86,19.27,0.0,3.5,2020-01-03 17:00:00
2020,1,3,18,0.0,0.0,0.0,22.61,22.65,0.0,3.86,2020-01-03 18:00:00
2020,1,3,19,0.0,0.0,0.0,22.07,23.96,0.0,4.81,2020-01-03 19:00:00
2020,1,3,20,0.0,0.0,0.0,21.43,25.42,0.0,5.84,2020-01-03 20:00:00
2020,1,3,21,0.0,0.0,0.0,20.25,27.53,0.0,5.92,2020-01-03 21:00:00
2020,1,3,22,0.0,0.0,0.0,19.27,28.98,0.0,6.08,2020-01-03 22:00:00
2020,1,3,23,0.0,0.0,0.0,18.36,29.86,0.0,6.08,2020-01-03 23:00:00
2020,1,4,0,0.0,0.0,0.0,17.45,30.75,0.0,6.02,2020-01-04 00:00:00
2020,1,4,1,0.0,0.0,0.0,16.6,31.86,0.0,5.98,2020-01-04 01:00:00
2020,1,4,2,0.0,0.0,0.0,15.87,33.12,0.0,5.88,2020-01-04 02:00:00
2020,1,4,3,0.0,0.0,0.0,15.25,34.2,0.0,5.69,2020-01-04 03:00:00
2020,1,4,4,0.0,0.0,0.0,14.73,35.28,0.0,5.5,2020-01-04 04:00:00
2020,1,4,5,0.0,0.0,0.0,14.28,36.15,0.0,5.38,2020-01-04 05:00:00
2020,1,4,6,14.73,0.48,17.75,14.07,36.58,0.0,5.53,2020-01-04 06:00:00
2020,1,4,7,164.35,141.16,132.92,15.53,32.61,0.0,6.74,2020-01-04 07:00:00
2020,1,4,8,377.73,312.33,218.95,18.36,26.45,0.0,7.61,2020-01-04 08:00:00
2020,1,4,9,592.15,455.58,282.41,21.44,22.09,0.0,7.31,2020-01-04 09:00:00
2020,1,4,10,756.83,570.79,299.78,24.32,19.61,0.0,7.1,2020-01-04 10:00:00
2020,1,4,11,844.83,613.07,286.04,27.02,18.33,0.0,6.67,2020-01-04 11:00:00
2020,1,4,12,810.42,471.87,358.64,29.07,17.36,0.0,6.15,2020-01-04 12:00:00
2020,1,4,13,741.12,449.19,381.76,30.33,16.73,0.0,5.78,2020-01-04 13:00:00
2020,1,4,14,602.38,405.03,322.29,30.82,16.81,0.0,5.63,2020-01-04 14:00:00
2020,1,4,15,411.52,299.56,253.49,30.5,17.61,0.0,5.6,2020-01-04 15:00:00
2020,1,4,16,196.88,154.99,140.98,29.45,19.09,0.0,5.44,2020-01-04 16:00:00
2020,1,4,17,30.7,3.3,30.15,25.97,23.77,0.0,3.52,2020-01-04 17:00:00
2020,1,4,18,0.0,0.0,0.0,23.69,27.31,0.0,3.75,2020-01-04 18:00:00
2020,1,4,19,0.0,0.0,0.0,23.12,28.29,0.0,4.45,2020-01-04 19:00:00
2020,1,4,20,0.0,0.0,0.0,22.6,28.88,0.0,5.51,2020-01-04 20:00:00
2020,1,4,21,0.0,0.0,0.0,21.7,30.03,0.0,5.94,2020-01-04 21:00:00
2020,1,4,22,0.0,0.0,0.0,20.62,31.39,0.0,5.8,2020-01-04 22:00:00
2020,1,4,23,0.0,0.0,0.0,19.58,32.59,0.0,5.66,2020-01-04 23:00:00
2020,1,5,0,0.0,0.0,0.0,18.64,33.69,0.0,5.58,2020-01-05 00:00:00
2020,1,5,1,0.0,0.0,0.0,17.74,35.17,0.0,5.39,2020-01-05 01:00:00
